nama_produk;harga;diskon;harga_diskon;terjual;kota
MINISO Dompet Lipat Pria Fashion Dompet Pendek Lelaki Kecil Wallet Simple Keren Bahan Premium;Rp89.900;44%;Rp49.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Kotak Makan Tempat We Bare Bears Lucu Penyimpanan Makanan 4 Pcs Set Dapur Kulkas Food Storage;;52%;Rp39.900 - Rp42.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO - Botol Minum Kaca 300ml Botol Air Minum Kecil BPA Free Kaca Botol Air Panas Botol Olahraga Botol Minum Anak;Rp59.900;53%;Rp27.900;2,5RB Terjual;KOTA JAKARTA UTARA
MINISO Boneka Bantal Guling Lucu Lembut Plush Mainan Boneka Mainan Mewah Bantal Bayi Doll Mini Plush Toy Hadiah Ulang Tahun Kado anak Kado untuk cewek Hadiah untuk cowok Kado Natal;;68%;Rp69.900 - Rp89.900;2,5RB Terjual;KOTA JAKARTA UTARA
Miniso Parfum Pria 50ml Garden of Mirror Parfum Eau De Parfum Tahan Lama Farfum Laki Laki Parfum EDP;Rp89.900;17%;Rp74.900;10RB+ Terjual;KOTA JAKARTA UTARA
Miniso Official Parfum Wanita Eternal Faith Lady Perfume Isi 50ml;Rp89.900;22%;Rp69.900;10RB+ Terjual;KOTA JAKARTA UTARA
Miniso Parfum Wanita 50mL Ballerina Eau De Toilette Pink Romance Lady Perfume Vanilla;Rp159.900;50%;Rp79.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Botol Minum We Bare Bears Botol Air Minum 500ml Botol Air Dingin Plastik Botol Minum Botol Olahraga Botol Anak;;63%;Rp21.900 - Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
Miniso Official Parfum Wanita Sparkle Eau De Toilette Perfume Fashion Tahan Lama Farfum Travel Size;;55%;Rp35.900 - Rp39.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Tas Penyimpanan Travel Bag Multifungsi Baju Praktis Organizer Pouch Makeup Organizer;;48%;Rp25.900 - Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Parfum Wanita 30ml Perfume Harmony Perempuan Cewek Parfume Farfum Wanita Tahan Lama Dan Wangi Perfume Wome OriginaI Minyak Wangi Wanita;Rp119.900;53%;Rp55.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO - Tempat Sampah Kecil We Bare Bear Kotak Keranjang Sampah Plastik Mini Trash Bin Tong Sampah Meja;;63%;Rp21.900 - Rp24.900;3,8RB Terjual;KOTA JAKARTA UTARA
MINISO Tas Kosmetik Cosmetic Bag Tas Alat Makeup Tas Make Up Paket Perjalanan Anti Air Kapasitas Besar Tahan Air Bentuk Berbilang;Rp59.900;50%;Rp29.900;5,2RB Terjual;KOTA JAKARTA UTARA
MINISO Kotak Makan Bento Lunchbox 510ml Tempat Bekal Makan Kotak Bekal Makan Siang Kecil Kotak Makan;Rp59.900;58%;Rp24.900;943 Terjual;KOTA JAKARTA UTARA
MINISO Facial Cotton Pad 1000pcs Kapas Tipis Pembersih Makeup Make Up Bantalan Kapas Kotak Kapas Pembersih Wajah Kapas Kecantikan;Rp49.833;40%;Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Dompet Wanita Women's Trifold Wallet Pendek Wanita Lipat Tiga Seru Hewan Rancangan Mode Muda Bit Kartu Kapasitas Besar;;62%;Rp53.000 - Rp59.900;8,5RB Terjual;KOTA JAKARTA UTARA
MINISO Parfum Wanita 30ml Lady Perfume EDT Wild Strawberry British Pear Tahan Lama Awet Farfum Wanita;Rp119.900;62%;Rp45.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Teko Teapot Set Teh Sederhana 5pcs/set Teh Ketel Kaca Teapot dengan 4pcs Gelas Praktis Kantor Set Teapot 700ml Volume Besar [SBS];;50%;Rp49.900 - Rp59.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Official Selimut We Bare Bears Topi Selimut Dan Bantal Karakter Office Air Conditioner Hooded Blanket Cloth;;50%;Rp79.900 - Rp109.900;10RB+ Terjual;KOTA JAKARTA UTARA
